Date,,4G_Norman Creek Bridge Norman Park,Norman Creek Pedestrians Inbound,Norman Creek Pedestrians Outbound,Norman Creek Cyclists Inbound,Norman Creek Cyclists Outbound,4G_North Brisbane Bikeway Windsor,North Brisbane Bikeway Mann Park Windsor Pedestrian Inbound,North Brisbane Bikeway Mann Park Windsor Pedestrian Outbound,North Brisbane Bikeway Mann Park Windsor Cyclists Inbound,North Brisbane Bikeway Mann Park Windsor Cyclists Outbound,4G_Schulz Canal Bridge Nundah,Schulz Canal Bridge Pedestrians Inbound,Schulz Canal Bridge Pedestrians Outbound,Schulz Canal Bridge Cyclists Inbound,Schulz Canal Bridge Cyclists Outbound,4G_Story Bridge East ,Story Bridge East Pedestrian Inbound,Story Bridge East Pedestrian Outbound,Story Bridge East Cyclists Inbound,Story Bridge East Cyclists Outbound,4G_Story Bridge West ,Story Bridge West Pedestrian Inbound,Story Bridge West Pedestrian Outbound,Story Bridge West Cyclists Inbound,Story Bridge West Cyclists Outbound,Bicenntenial Bikeway,Bicentennial Bikeway Pedestrians Inbound,Bicentennial Bikeway Pedestrians Outbound,Bicentennial Bikeway Cyclists Inbound,Bicentennial Bikeway Cyclists Outbound,Bicentennial Bikeway Display ,Channel 1 IN,Channel 2 OUT,Channel 3 IN,Channel 4 OUT,Bishop Street Kelvin Grove,Bishop Street Pedestrians Inbound,Bishop Street Pedestrians Outbound,Bishop Street Cyclists Inbound,Bishop Street Cyclists Outbound,Ekibin Park Greenslopes,Ekibin Park Pedestrians Inbound,Ekibin Park Pedestrians Outbound,Ekibin Park Cyclists Inbound,Ekibin Park Cyclists Outbound,Eleanor Schonell Bridge Cyclists,Eleanor Schonell Bridge Cyclists (WB) Inbound,Eleanor Schonell Bridge Cyclists (EB) Outbound,Eleanor Schonell Bridge Pedestrians,Eleanor Schonell Bridge Pedestrians (WB) Inbound,Eleanor Schonell Bridge Pedestrians (EB) Outbound,Go Between Bridge Pedestrians,Go Between Bridge Pedestrians (NB) Inbound,Go Between Bridge Pedestrians (SB) Outbound,Go Between Cycle Display,Go Between Cycle Display Cyclists Towards City,Go Between Cycle Display Cyclists Towards Sth Brisbane,Granville Street Bridge Herston,Granville Street Bridge Pedestrians Inbound,Granville Street Bridge Pedestrians Outbound,Granville Street Bridge Cyclists Inbound,Granville Street Bridge Cyclists Outbound,Jack Pesch Bridge Indooroopilly,Jack Pesch Bridge Pedestrians Inbound,Jack Pesch Bridge Pedestrians Outbound,Jack Pesch Bridge Cyclists Outbound,Jack Pesch Bridge Cyclists Inbound,Kangaroo Point Bikeway,Kangaroo Point Bikeway Pedestrians Inbound,Kangaroo Point Bikeway Pedestrians Outbound,Kangaroo Point Bikeway Cyclists Inbound,Kangaroo Point Bikeway Cyclists Outbound,Kedron Brook Bikeway Lutwyche,Kedron Brook Bikeway Lutwyche Pedestrians Inbound,Kedron Brook Bikeway Lutwyche Pedestrians Outbound,Kedron Brook Bikeway Lutwyche Cyclists Inbound,Kedron Brook Bikeway Lutwyche Cyclists Outbound,Kedron Brook Bikeway Mitchelton,Kedron Brook Bikeway Mitchelton Pedestrian Inbound,Kedron Brook Bikeway Mitchelton Pedestrian Outbound,Kedron Brook Bikeway Mitchelton Cyclist Inbound,Kedron Brook Bikeway Mitchelton Cyclist Outbound,Lambert Road Indooroopilly,Lambert Road Indooroopilly Cyclists Inbound,Lambert Road Indooroopilly Cyclists Outbound,Macquarie Street St Lucia,Macquarie St ( St Lucia) Pedestrians Towards University,Macquarie St ( St Lucia) Pedestrians Away from University,Macquarie St ( St Lucia) Cyclists Towards University,Macquarie St ( St Lucia) Cyclists Away from University,Riverwalk Newfarm,Riverwalk Pedestrians Inbound,Riverwalk Pedestrians Outbound,Riverwalk Cyclists Inbound,Riverwalk Cyclists Outbound,Stanley Street Woolloongabba,Stanley Street Cyclists Inbound,Stanley Street Cyclists Outbound,Stanley Street on-road Cyclists Inbound
01/01/2017,00:00,109,54,42,11,2,177,30,21,68,58,74,0,0,49,25,482,82,128,202,70,885,345,291,180,69,2074,381,394,740,559,,,,,,181,29,50,57,45,563,98,104,215,146,469,187,282,363,197,166,580,274,306,,,,171,52,17,68,34,497,89,65,153,190,2617,916,948,286,467,,,,,,336,120,98,72,46,697,399,298,,,,,,1431,442,281,350,358,224,71,130,23
02/01/2017,00:00,151,67,65,11,8,199,41,33,75,50,129,0,0,82,47,546,86,65,257,138,713,250,163,231,69,3324,506,455,1298,1065,,,,,,260,47,76,85,52,881,143,171,331,236,827,347,480,479,256,223,431,176,255,,,,220,38,25,102,55,1004,82,106,244,572,3080,1062,1057,378,583,,,,,,472,120,124,132,96,1226,569,657,,,,,,1885,554,289,546,496,363,101,228,34
03/01/2017,00:00,189,76,81,16,16,389,88,84,105,112,124,0,0,77,47,686,123,106,332,125,1051,453,246,256,96,3016,578,539,1038,861,,,,,,258,69,75,61,53,1174,233,252,321,368,864,415,449,941,452,489,741,339,402,,,,555,103,109,133,210,601,105,120,113,263,2342,799,865,290,388,,,,,,342,87,123,74,58,1046,542,504,,,,,,1208,377,259,304,268,344,130,189,25
04/01/2017,00:00,272,120,104,31,17,539,99,99,176,165,328,151,2,104,71,908,132,114,508,154,1111,363,236,359,153,4880,711,747,1857,1565,,,,,,420,100,101,111,108,1647,291,253,679,424,1326,626,700,1147,615,532,837,390,447,,,,721,98,88,235,300,1158,174,227,244,513,3715,1172,1311,531,701,,,,,,525,145,179,104,97,1726,888,838,,,,,,2071,643,451,483,494,492,182,271,39
05/01/2017,00:00,243,91,102,34,16,555,100,87,181,187,183,0,0,110,73,919,126,122,487,184,1134,396,226,367,145,4404,599,658,1702,1445,,,,,,368,79,103,94,92,1679,286,252,689,452,1335,599,736,1173,601,572,875,427,448,,,,647,105,84,218,240,1104,129,196,208,571,3179,967,1086,466,660,,,,,,496,141,161,111,83,1833,893,940,,,,,,1880,510,341,474,555,541,211,286,44
06/01/2017,00:00,262,107,105,22,28,427,75,55,143,154,141,0,0,90,51,917,132,123,448,214,1156,393,244,369,150,4030,534,529,1576,1391,,,,,,414,94,119,94,107,1481,253,272,465,491,1265,608,657,1120,588,532,850,351,499,,,,626,101,93,193,239,1368,157,222,235,754,3082,971,1021,443,647,,,,,,479,139,125,109,106,1737,800,937,,,,,,1567,432,272,423,440,479,148,293,38
07/01/2017,00:00,241,106,82,22,31,371,82,81,102,106,120,1,0,74,45,767,133,119,386,129,1052,373,278,272,129,3276,609,537,1181,949,,,,,,353,94,113,74,72,1355,357,395,324,279,742,319,423,849,422,427,1504,503,1001,,,,386,167,73,72,74,800,117,127,145,411,3591,1272,1276,435,608,,,,,,525,157,160,110,98,1305,667,638,,,,,,1962,555,357,534,516,379,122,220,37
08/01/2017,00:00,264,134,85,19,26,393,85,64,120,124,339,0,0,191,148,880,144,144,406,186,1188,432,289,324,143,4513,716,674,1729,1394,,,,,,469,112,118,108,131,1486,282,286,513,405,1059,455,604,897,462,435,784,367,417,,,,440,94,83,144,119,1277,145,207,305,620,4745,1638,1711,570,826,,,,,,571,151,144,145,131,1539,649,890,,,,,,2881,781,565,753,782,432,134,258,40
09/01/2017,00:00,311,146,111,42,12,714,138,101,244,231,233,12,0,132,89,1134,144,185,578,227,1148,353,236,411,148,5275,755,869,2089,1562,,,,,,498,112,132,131,123,2062,364,343,874,481,1486,681,805,1552,820,732,1457,635,822,,,,896,127,90,327,352,909,125,165,207,412,3880,1212,1339,575,754,,,,,,575,123,160,158,134,1713,869,844,,,,,,2405,687,590,541,587,540,201,293,46
10/01/2017,00:00,214,94,85,20,15,677,133,81,266,197,251,0,0,146,105,1232,154,169,645,264,1265,346,250,487,182,5968,773,842,2338,2015,,,,,,451,82,108,122,139,2104,310,318,857,619,1678,789,889,1554,824,730,1480,604,876,,,,967,101,93,381,392,1329,126,257,226,720,3907,1173,1245,620,869,,,,,,518,127,149,123,119,1984,862,1122,,,,,,2474,621,610,631,612,653,231,372,50
